game,algo_L,stepsize_mode,init_mode,seed,iters,final_duality_gap,gap_log_linear_rate,final_w2_sum,w2_log_linear_rate,final_entropy_a,final_entropy_b,final_barycenter_x,final_barycenter_y,csv_path
chizat_example_4_1,1,slingshot,near_mne,4,5000,3.452224033108353e-05,-0.00032484658821727166,0.00048764261399590744,-0.00018319971992512707,3.401197380671186,3.4011973809597147,0.6249971800661902,0.3750014953462315,chizat_example_4_1\local\L1_slingshot_init-near_mne_seed4.csv
bilinear,1,vanilla,uniform,0,2000,179.93310824744574,1.0193144935923749e-05,17.993385050985665,6.543393539270542e-06,0.01573250877719321,9.734810742501154e-06,9.83029124181735,-8.163019582927227,bilinear\pitfall_default_stepsize\L1_vanilla_init-uniform_seed0.csv
bilinear,1,slingshot,uniform,0,2000,194.7058222775547,2.305624445879727e-05,19.47066662631333,1.9176475254744285e-05,0.013864465073886209,0.008550018406616244,9.775424087229338,-9.69515814052613,bilinear\pitfall_default_stepsize\L1_slingshot_init-uniform_seed0.csv
bilinear,1,vanilla,uniform,0,3000,116.16392542574636,0.0002766882470163082,11.790503327713573,1.1838337398247095e-05,3.3880463434337504,3.2767125314079926,-1.6898876647036838,-9.92650487787095,bilinear\calibrated\L1_vanilla_init-uniform_seed0.csv
bilinear,1,slingshot,uniform,0,3000,1.4210854715202004e-14,-0.003842069837425795,11.861081555564741,-6.245512741332137e-08,3.3992357788142664,3.4002609322709847,5.273559366969494e-16,-7.216449660063518e-16,bilinear\calibrated\L1_slingshot_init-uniform_seed0.csv
bilinear,1,vanilla,uniform,1,3000,106.11726438592122,0.00022811631720656776,11.015511658444105,3.067223600312298e-07,3.2658295587105712,3.39755756972606,10.0,-0.6117264385921206,bilinear\calibrated\L1_vanilla_init-uniform_seed1.csv
bilinear,1,slingshot,uniform,1,3000,8.215650382226158e-15,-0.003942677230797959,11.35560075152566,4.616718556869963e-07,3.4008915646342475,3.3976406389951563,0.0,3.95516952522712e-16,bilinear\calibrated\L1_slingshot_init-uniform_seed1.csv
bilinear,1,vanilla,uniform,2,3000,117.05824405298426,0.00018903818049722406,11.878234332009557,2.2393326745595116e-05,3.3858230460874013,3.281938362320455,-1.7806268819128122,-9.925197523385613,bilinear\calibrated\L1_vanilla_init-uniform_seed2.csv
bilinear,1,slingshot,uniform,2,3000,6.661338147750939e-15,-0.004081850199376254,10.56973609691828,-2.3866661925539122e-06,3.400062478825054,3.3935407605813395,-5.551115123125783e-17,3.885780586188048e-16,bilinear\calibrated\L1_slingshot_init-uniform_seed2.csv
convex_concave,1,vanilla,uniform,0,2000,-0.0006280710096419958,-0.061531788968650254,1.8645678657648126e-07,-0.007111681552595648,0.6931447589368922,1.0878391188663614,2.135784617740665e-15,-1.9288580288501967e-16,convex_concave\L1_vanilla_init-uniform_seed0.csv
convex_concave,1,vanilla,uniform,1,2000,-0.0006280710096405282,-0.04717252931603955,2.0502432096725008e-07,-0.007685030660087323,0.6348433175198802,1.0956848801927288,2.062599894062403e-17,-3.2602040279601963e-15,convex_concave\L1_vanilla_init-uniform_seed1.csv
convex_concave,1,vanilla,uniform,2,2000,-0.0006280710096436727,-0.04384559063105227,1.6594082661205785e-07,-0.00743494731544074,0.6929416107646397,0.640137450665167,-2.316198785773372e-15,2.67642447287743e-15,convex_concave\L1_vanilla_init-uniform_seed2.csv
